,restaurant,rating,genre,price,address
0,Kuleli Yakamoz Restaurant,4.0,"Fresh Fish, Seafood, Izgara",₺180 for two,"Çengelköy Merkez, İstanbul"
1,Lacivert Restaurant,4.4,"Seafood, Fresh Fish, World Cuisine",₺480 for two,"Anadolu Hisarı Merkez, İstanbul"
2,360 İstanbul,4.2,"World Cuisine, Turkish, Sushi, Japanese",₺450 for two,"Taksim, İstanbul"
3,Mükellef,4.3,"Old Turkish Bars, Turkish",₺380 for two,"The Haze İstanbul, Karaköy, Beyoğlu, İstanbul"
4,Boon Cafe & Restaurant,4.1,"Restaurant Cafe, Cafe",₺180 for two,"Çengelköy Merkez, İstanbul"
5,Lokma,3.9,Restaurant Cafe,₺170 for two,"Rumeli Hisarı Merkez, İstanbul"
6,Nusr-Et Steakhouse,4.2,Steak,₺850 for two,"Etiler Merkez, İstanbul"
7,Chilai,4.2,"World Cuisine, Italian, Seafood, Sushi",₺450 for two,"Bebek, İstanbul"
8,Firuzende Restaurant - Anemon Hotels,4.4,World Cuisine,₺330 for two,"Anemon Hotels, Galata, Beyoğlu, İstanbul"
9,Villa Bosphorus,4.2,"Seafood, Fresh Fish, Izgara",₺300 for two,"Beylerbeyi, İstanbul"
10,Peninsula Teras Restaurant - Golden City Hotel,4.4,"World Cuisine, Turkish",₺320 for two,"Golden City Hotel, Karaköy, Beyoğlu, İstanbul"
11,Kukis,4.9,"Patisserie, Cafe, Turkish",₺50 for two,"Acıbadem Merkez, İstanbul"
12,Huqqa,3.6,World Cuisine,₺250 for two,"Kuruçeşme, İstanbul"
13,BigChefs,3.9,World Cuisine,₺250 for two,"Tarabya Merkez, İstanbul"
14,Eleos Restaurant,4.8,"Old Turkish Bars, Greek, Fresh Fish",₺420 for two,"Taksim, İstanbul"
15,Brekkie Croissant & Cookie,4.7,"Bakery, Cafe, Coffee, Tea",₺80 for two,"Moda, İstanbul"
16,BeerHall,4.1,"Finger Food, American",₺180 for two,"Akaretler, İstanbul"
17,Mendel's,4.5,"Desserts, Cafe",₺65 for two,"Akaretler, İstanbul"
