,restaurant,rating,genre,price,address
0,Toulouse Petit Kitchen & Lounge,4.3,"Cajun, French",$80 for two,"Queen Anne: Lower, Seattle"
1,Lola,4.7,"Greek, Mediterranean, Pacific Northwest",$70 for two,"Hotel Andra, Seattle"
2,Le Pichet,4.4,"Cafe, French",$50 for two,"Pike Place Market, Seattle"
3,Caf¨¦ Presse,4.4,"Cafe, French",$45 for two,"Capitol Hill, Seattle"
4,Bakery Nouveau,4.7,"Bakery, French, Desserts",$15 for two,"West Seattle, Seattle"
5,5 Spot,4.4,"Pacific Northwest, American",$55 for two,"Queen Anne: Upper, Seattle"
6,Piroshky Piroshky,4.8,"Russian, Bakery",$15 for two,"Pike Place Market, Seattle"
7,Portage Bay Cafe,4.2,American,$45 for two,"University District, Seattle"
8,Top Pot Doughnuts,4.6,"Donuts, Coffee and Tea",$15 for two,"Downtown, Seattle"
9,Macrina Bakery,4.6,"Cafe, Bakery",$35 for two,"Belltown, Seattle"
10,Skillet Capitol Hill,4.6,"Burger, Diner, American",$45 for two,"Capitol Hill, Seattle"
11,Senor Moose Cafe,4.3,Mexican,$30 for two,"Ballard, Seattle"
12,Cafe Besalu,4.5,"Bakery, Coffee and Tea",$15 for two,"Ballard, Seattle"
13,Cafe Flora,4.2,"Vegetarian, Breakfast",$65 for two,"Madison Park, Seattle"
14,Beecher's Handmade Cheese,4.9,"Sandwich, Cafe",$25 for two,"Pike Place Market, Seattle"
15,Le Panier,4.8,"Cafe, French, Bakery",$20 for two,"Pike Place Market, Seattle"
16,Jade Garden,4.3,"Dim Sum, Chinese",$35 for two,"International District, Seattle"
17,Oddfellows Cafe & Bar,4.3,American,$75 for two,"Capitol Hill, Seattle"
18,Coastal Kitchen,4,"Seafood, International",$65 for two,"Capitol Hill, Seattle"
19,Beth's Cafe,4.2,Diner,$50 for two,"Greenwood/Phinney, Seattle"
20,Espresso Vivace,4.8,Coffee and Tea,$25 for two,"Capitol Hill, Seattle"
21,Glo's,4.2,"Diner, American",$35 for two,"Capitol Hill, Seattle"
22,Pink Door,4.6,Italian,$100 for two,"Pike Place Market, Seattle"
23,Paseo,4.6,"Caribbean, Sandwich, Cuban",$25 for two,"Fremont, Seattle"
24,Canlis,4.3,"Pacific Northwest, New American",$150 for two,"Westlake, Seattle"
25,Salumi,4.5,"Sandwich, Deli, Italian",$40 for two,"Pioneer Square, Seattle"
26,Serious Pie,4.5,"Pizza, Italian",$40 for two,"Belltown, Seattle"
27,La Carta de Oaxaca,4.4,Mexican,$35 for two,"Ballard, Seattle"
28,Wild Ginger,4.2,"Vietnamese, Chinese, Asian",$75 for two,"Downtown, Seattle"
29,The Walrus and the Carpenter,4.4,"Pacific Northwest, Seafood, Tapas",$60 for two,"Ballard, Seattle"
30,Cafe Campagne,4.5,"French, Cafe",$55 for two,"Pike Place Market, Seattle"
31,Dahlia Lounge,4.3,"Seafood, Pacific Northwest",$100 for two,"Belltown, Seattle"
32,Red Mill Burgers,4.3,American,$20 for two,"Greenwood/Phinney, Seattle"
33,Ray's Boathouse,4.3,"Pacific Northwest, Seafood",$130 for two,"Ballard, Seattle"
34,Quinn's,4.4,"Pub Food, American",$65 for two,"Capitol Hill, Seattle"
35,Matt's in the Market,4.6,"Pacific Northwest, Seafood",$55 for two,"Pike Place Market, Seattle"
36,Honey Hole,4.6,Sandwich,$30 for two,"Capitol Hill, Seattle"
