,title,genre,rating,price,address
0,Blah!,"Burger, Continental, Pizza, Salad, Beverages",3.8,"₹1,800 for two","Bandra Kurla Complex, Mumbai"
1,Silly,"North Indian, Continental, Fast Food, Desserts, Beverages",4.0,"₹2,000 for two","Khar, Mumbai"
2,Episode One,"Chinese, Asian, Italian, Fast Food, Beverages",4.5,"₹1,000 for two","Powai, Mumbai"
3,Razzberry Rhinoceros,"Mediterranean, Italian, North Indian, Continental, Beverages, Desserts",4.0,"₹2,000 for two","Juhu, Mumbai"
4,Opa Kipos,Greek,2.1,"₹3,800 for two","Worli, Mumbai"
5,The Terrace - A Maiden Affair,"Continental, Italian, Chinese, Fast Food, Salad, Desserts",4.5,"₹1,500 for two","Andheri Lokhandwala, Andheri West, Mumbai"
6,Butterfly High,"Modern Indian, Fast Food, Continental, North Indian, Chinese, Beverages, Finger Food",4.4,"₹1,500 for two","Jet Airways Godrej, Bandra Kurla Complex, Mumbai"
7,Bkc Dive.,"Continental, North Indian, Chinese, Fast Food, Finger Food",4.4,"₹1,100 for two","Bandra Kurla Complex, Mumbai"
8,Poco Loco,"Spanish, Mexican, Continental, Desserts, Beverages",4.3,"₹1,800 for two","Khar, Mumbai"
9,Opa! Bar & Cafe - Peninsula Grand Hotel,"Lebanese, Middle Eastern, Arabian, Salad",4.2,"₹3,400 for two","The Peninsula Grand Hotel, Sakinaka, Mumbai"
10,By The Bae - Kitchen And Bar,"Chinese, Fast Food, North Indian, Street Food, Continental, Beverages, Desserts, Shake",4.2,"₹2,400 for two","Versova, Andheri West, Mumbai"
11,London Taxi,"Modern Indian, Asian, North Indian, Italian, Fast Food, Desserts, Beverages",4.5,"₹1,200 for two","Kamala Mills Compound, Mumbai"
12,The Finch,"Thai, Chinese, Italian, Continental, North Indian, Japanese, Desserts, Beverages",4.4,"₹1,500 for two","Powai, Mumbai"
13,Bastian,"Asian, Desserts",3.1,"₹3,000 for two","Worli, Mumbai"
14,CinCin,"Italian, European, Fast Food, Beverages, Desserts",4.3,"₹2,800 for two","Bandra East, Mumbai"
15,Spotlight Skydeck,"Continental, North Indian, Fast Food, Desserts, Beverages, Bar Food, Chinese",4.2,"₹1,400 for two","Wagle Estate, Thane West, Thane"
16,Diablo,"Asian, Turkish, Mediterranean, Iranian, Desserts, Beverages",4.2,"₹1,600 for two","Worli, Mumbai"
17,Hitchki,"Bar Food, North Indian, Chinese, Continental, Desserts, Beverages",4.6,"₹1,700 for two","First International Financial Centre, Bandra Kurla Complex, Mumbai"
18,The Flying Saucer,"Bar Food, Continental, North Indian, Beverages",4.1,"₹1,900 for two","Andheri Lokhandwala, Andheri West, Mumbai"
19,Boho Bar & Kitchen,"North Indian, Asian, Italian, Continental, Mughlai, Fast Food, Desserts, Beverages",4.1,"₹1,500 for two","Goregaon West, Mumbai"
20,Rikē - Terrace Bar & Grill,"Continental, Italian, Lebanese, Asian, European, Beverages",4.2,"₹1,800 for two","Veera Desai Area, Mumbai"
21,Yazu - Pan Asian Supper Club,"Thai, Korean, Japanese, Chinese",4.8,"₹1,800 for two","Oshiwara, Andheri West, Mumbai"
22,Breeze Lounge,"Italian, Mediterranean, Salad, Fast Food",4.1,"₹2,600 for two","Powai, Mumbai"
23,Sin City Rooftop Resto & Lounge,"Continental, North Indian, Thai, Italian, Beverages",4.5,"₹2,500 for two","Andheri Lokhandwala, Andheri West, Mumbai"
24,Fisco Restobar,"North Indian, Italian, Pizza, Chinese, Fast Food, Beverages",4.4,"₹1,500 for two","Kandivali West, Mumbai"
25,Toit,"Continental, South Indian, Desserts, Waffle",4.5,"₹1,600 for two","Lower Parel, Mumbai"
26,Lord Of The Drinks,"European, Chinese, North Indian, Italian, Sushi",4.2,"₹2,000 for two","Powai, Mumbai"
27,Angrezi Patiyalaa,"North Indian, Mughlai, Chinese, Malwani, Desserts, Beverages, Fast Food, Shake",4.6,"₹1,600 for two","Korum Mall, Khopat, Thane West, Thane"
28,145 Andheri,"North Indian, Chinese, Fast Food, Beverages, Desserts, Shake, Bar Food",4.4,"₹1,600 for two","Veera Desai Area, Mumbai"
29,Tanatan,"North Indian, Malwani",4.5,"₹1,500 for two","Dadar Shivaji Park, Mumbai"
30,Sky Garden,"Chinese, Maharashtrian, North Indian, Continental, Beverages, Mughlai, Desserts, Sichuan",4.4,"₹1,500 for two","Owale, Thane West, Thane"
31,Canto Restaurant & Banquet,"North Indian, Continental, Italian, Lebanese, Shake",4.3,"₹1,300 for two","Lower Parel, Mumbai"
32,Mitron,"Chinese, Sushi, North Indian, Biryani, Kebab, Seafood",4.2,"₹1,500 for two","The Peninsula Grand Hotel, Sakinaka, Mumbai"
33,Loco Loca,"Continental, Italian, Mexican, Beverages, Salad, Tea",4.3,"₹1,000 for two","Andheri Lokhandwala, Andheri West, Mumbai"
34,Indian BBQ Co.,"BBQ, North Indian, Beverages, Desserts",4.5,"₹1,400 for two","Veera Desai Area, Mumbai"
35,KOKO,"Japanese, Sushi, Asian, Chinese",4.7,"₹3,000 for two","Kamala Mills Compound, Mumbai"
36,O Pedro,"Goan, Beverages, Fast Food, Finger Food",4.8,"₹1,800 for two","Jet Airways Godrej, Bandra Kurla Complex, Mumbai"
37,Madeira & Mime,"Finger Food, North Indian, Continental, Desserts, Beverages",4.9,"₹1,000 for two","Powai, Mumbai"
38,The Little Door,"Mediterranean, Italian, Mexican",4.2,"₹1,700 for two","Veera Desai Area, Mumbai"
39,Thyme & Whisk,"North Indian, Continental, Italian, Asian, Modern Indian, Chinese, Desserts",3.8,"₹1,700 for two","Juhu, Mumbai"
40,The Food Studio - Kitchen & Bar,"North Indian, Continental, Asian, Italian, Mughlai",4.4,"₹1,300 for two","Malad West, Mumbai"
41,^nv^s^ble Gastronomy Bar,"North Indian, Continental, Chinese, Biryani, Mughlai, Pizza, Beverages",4.2,"₹1,000 for two","Andheri Lokhandwala, Andheri West, Mumbai"
42,Knotty Yard,"Continental, Chinese, Finger Food, Beverages, Desserts",4.3,"₹1,500 for two","Powai, Mumbai"
43,Tori,"Asian, Japanese, Thai, Spanish, Peruvian, Mexican",3.9,"₹1,800 for two","Khar, Mumbai"
44,MH04 The Drunk Yard,"North Indian, Continental, Pizza, Fast Food, Chinese, Beverages",4.3,"₹1,500 for two","Manpada, Thane West, Thane"
45,1 BHK - Brew House Kitchen,"Italian, Pizza, Continental, Salad, Sandwich, Desserts, Beverages",4.4,"₹1,600 for two","Oshiwara, Andheri West, Mumbai"
46,The Little Easy,"American, Finger Food, Italian, Pizza, Kebab, Seafood, Beverages",4.3,"₹1,800 for two","Linking Road, Bandra West, Mumbai"
47,Trèsind,"Modern Indian, Street Food, North Indian, Beverages",4.9,"₹6,600 for two","Bandra Kurla Complex, Mumbai"
48,Pa Pa Ya,"Sushi, Asian, Chinese, Thai, Japanese, Malaysian, Momos, Beverages",4.6,"₹2,500 for two","Bandra Kurla Complex, Mumbai"
49,Dome,"Japanese, Sushi, Pizza, North Indian, Asian",4.4,"₹3,500 for two","InterContinental, Churchgate, Mumbai"
50,The Bombay Cartel,"Continental, Chinese, North Indian, Fast Food, Finger Food, Beverages",3.9,"₹1,600 for two","Kamala Mills Compound, Mumbai"
51,The Bombay Canteen,"Modern Indian, Bar Food, Beverages",4.7,"₹2,000 for two","Kamala Mills Compound, Mumbai"
52,Barrel & Co.,"Continental, Chinese, North Indian, Beverages",4.1,"₹2,500 for two","Veera Desai Area, Mumbai"
