,restaurant,rating,genre,price,address
0,The Curry Culture,3.9,"Continental, Indian, Asian",SGD105 for two,"Somerset, Orchard, Singapore"
1,Colony,4,"Asian, Continental, Seafood, Bakery",SGD220 for two,"Marina Centre, Downtown Core, Singapore"
2,Burnt Ends,3.9,"American, European, Australian, Steak",SGD180 for two,"Teck Lim Road, Outram, Singapore"
3,Cut By Wolfgang Puck,3.9,"American, Steak",SGD270 for two,"The Shoppes, Downtown Core, Singapore"
4,Melt Cafe,4.3,"Singaporean, European, Seafood, Indian, Japanese, Continental",SGD200 for two,"Marina Square, Downtown Core, Singapore"
5,Fratini La Trattoria,3.9,Italian,SGD100 for two,"Hillcrest, Bukit Timah, Singapore"
6,Corner House,3.9,"Continental, French",SGD755 for two,"Tyersall, Tanglin, Singapore"
7,Lau Pa Sat,4,"Indonesian, Singaporean, Chinese, Vietnamese, Seafood, Japanese",SGD35 for two,"Cecil Street 10 02, Downtown Core, Singapore"
8,Carousel,4.1,"Mediterranean, Asian, Japanese, Sushi, Seafood, French",SGD150 for two,"Dfs Galleria, Orchard, Singapore"
9,Artistry,3.9,"American, Bakery, European, Burger, Fusion",SGD50 for two,"Sungai Pinang, Rochor, Singapore"
10,Summer Pavilion,3.7,"Chinese, Seafood, Cantonese, Dim Sum",SGD300 for two,"Marina Centre, Downtown Core, Singapore"
11,Rhubarb Le Restaurant,3.8,French,SGD315 for two,"Duxton Hill, Outram, Singapore"
12,Wild Honey,4,"European, Spanish, American, Cafe",SGD70 for two,"Grange Road, Orchard, Singapore"
13,Edge,3.3,"Chinese, Thai, Japanese, Italian",SGD165 for two,"Marina Centre, Downtown Core, Singapore"
14,Komala Vilas Restaurant,3.8,"Indian, North Indian, South Indian",SGD20 for two,"Serangoon Road, Rochor, Singapore"
15,Basilico,3.9,Italian,SGD150 for two,"Orchard Spring Lane, Orchard, Singapore"
16,Lagnaa Barefoot Dining,3.7,"South Indian, North Indian",SGD50 for two,"Little India, Rochor, Singapore"
17,Peach Blossoms,3,"Singaporean, Chinese, Dim Sum, Healthy Food, Seafood, Cantonese",SGD110 for two,"Marina Square, Downtown Core, Singapore"
18,My Awesome Cafe,3.9,"Continental, European",SGD75 for two,"Telok Ayer Street, Outram, Singapore"
19,Singapore Zam Zam Restaurant,3.9,"South Indian, Singaporean, Middle Eastern, Indian",SGD20 for two,"Arab Street, Rochor, Singapore"
20,10 At Claymore,3.1,European,SGD135 for two,"Boulevard, Orchard, Singapore"
21,Tippling Club,3.9,"Italian, European",SGD340 for two,"Tanjong Pagar Road, Outram, Singapore"
22,Potato Head Singapore,3.5,American,SGD80 for two,"Chinatown, Outram, Singapore"
23,Makansutra Gluttons Bay,3.9,"Singaporean, Chinese, Seafood, Malay, Indian",SGD30 for two,"Marina Centre, Downtown Core, Singapore"
24,Nox - Dine In The Dark,3.9,"Asian, French, Fusion",SGD200 for two,"Beach Road, Kallang, Singapore"
25,Boufe Boutique Cafe,3.5,"Cafe, French, Bakery, Italian",SGD50 for two,"Kay Siang Road, Tanglin, Singapore"
26,I am...,3.8,"Cafe, Fusion, Western",SGD60 for two,"North Bridge Road, Rochor, Singapore"
27,Adrift By David Myers,3.9,"American, Asian, Continental, Fusion",SGD130 for two,"Bayfront Avenue, Downtown Core, Singapore"
28,Flutes,3.7,"European, Middle Eastern",SGD275 for two,"Bras Basah, Museum, Singapore"
29,Non Entree Dessert Cafe,3.9,"Desserts, Bakery",SGD30 for two,"Kampong Java, Kallang, Singapore"
30,Symmetry,3.6,"Continental, Bar Food",SGD75 for two,"Kampong Glam, Rochor, Singapore"
31,Equinox Restaurant,3.9,"European, Asian",SGD80 for two,"Raffles City Shopping Centre, Downtown Core, Singapore"
32,Super Loco,3.8,"American, Mexican",SGD95 for two,"Robertson Quay, Singapore River, Singapore"
33,Bistecca Tuscan Steakhouse,3.9,"American, Continental, Italian, Pizza, Steak",SGD290 for two,"Mohamed Sultan Road, River Valley, Singapore"
34,Sunday Folks,3.6,"Cafe, Bakery",SGD40 for two,"Leedon Park, Bukit Timah, Singapore"
35,The Lokal,3.6,"Singaporean, Australian, German",SGD60 for two,"Neil Road, Outram, Singapore"
36,Tiffin Room,3.9,"North Indian, Indian, South Indian, American",SGD150 for two,"Beach Road, Downtown Core, Singapore"
37,Crossroads Cafe,3.5,"American, European, Singaporean",SGD115 for two,"Tang Plaza, Orchard, Singapore"
38,Pacamara Boutique Coffee Roasters,3.8,Cafe,SGD50 for two,"Upper Thomson Road, Bishan, Singapore"
39,The White Rabbit,3.9,"European, French",SGD130 for two,"Ridout, Tanglin, Singapore"
40,Ronin Cafe,3.9,Cafe,SGD40 for two,"Boat Quay, Singapore River, Singapore"
41,Tai Hwa Pork Noodles,3.9,"Singaporean, Chinese",SGD15 for two,"Crawford, Kallang, Singapore"
42,L'atelier Tiramisu,3.3,"Cafe, Bakery",SGD25 for two,"The Central, Singapore River, Singapore"
43,Brawn & Brains,3.8,"Cafe, Sandwich",SGD40 for two,"Guillemard Road, Geylang, Singapore"
44,Curious Palette,3.9,American,SGD50 for two,"Bencoolen, Rochor, Singapore"
45,Open Farm Community,3.8,"Italian, Australian, Healthy Food, Fusion",SGD100 for two,"Ridout, Tanglin, Singapore"
46,Marriott Cafe,3.9,"Singaporean, Chinese, Seafood",SGD150 for two,"Tang Plaza, Orchard, Singapore"
47,Artichoke Cafe,3.9,Middle Eastern,SGD80 for two,"Victoria, Rochor, Singapore"
48,Clinton St Baking Company,3.7,"Cafe, Bakery, Desserts",SGD60 for two,"Purvis Street, Downtown Core, Singapore"
49,Lolla,3.2,"Continental, Spanish",SGD130 for two,"Ann Siang Road, Outram, Singapore"
50,The Populus Coffee & Food Co,3.7,"American, Cafe, Italian",SGD60 for two,"Neil Road, Outram, Singapore"
51,The Refinery Singapore,3.7,"American, Japanese, Singaporean",SGD80 for two,"Lavender, Kallang, Singapore"
52,Oso Ristorante,3.2,Italian,SGD215 for two,"Chinatown, Outram, Singapore"
53,The Bravery Cafe,3.6,Cafe,SGD25 for two,"Lavender, Kallang, Singapore"
54,The Sushi Bar,3.9,"Japanese, Sushi",SGD35 for two,"Far East Plaza, Orchard, Singapore"
