,title,genre,rating,price,address
0,Cul de Sac,Italiana,4.3,40 € per due,"Navona - Pantheon, Roma"
1,Roscioli,"Romana, Italiana",4.5,70 € per due,"Campo de' Fiori, Roma"
2,Sorpasso,Italiana,3.9,30 € per due,"Borgo, Roma"
3,Abitudini & Follie,"Pizza, Finger Food, Italiana",3.8,40 € per due,"Policlinico, Roma"
4,Enoteca Corsi,"Romana, Italiana",3.8,40 € per due,"Navona - Pantheon, Roma"
5,Il Goccetto,Tavola Fredda,3.7,30 € per due,"Campo de' Fiori, Roma"
6,L'Ombralonga,"Panini, Healthy Food, Italiana",3.7,20 € per due,"Centocelle, Roma"
7,Fafiuche,"Piemontese, Pugliese, Italiana",3.9,50 € per due,"Monti, Roma"
8,Enoteca del Frate,"Europea, Pesce, Italiana",3.9,80 € per due,"Prati, Roma"
9,Baccanale al 59,Italiana,3.9,40 € per due,"Prati, Roma"
10,Bancovino,"Mediterranea, Europea Moderna",2.2,50 € per due,"Prati, Roma"
11,L'Idillio,"Romana, Italiana",3.6,50 € per due,"Pigneto, Roma"
12,Terra Satis,"Caffè, Pizza, Italiana",3.5,30 € per due,"Trastevere, Roma"
13,Trimani Wine Bar,"Tavola Fredda, Tavola Calda, Italiana",-,40 € per due,"Castro Pretorio, Roma"
14,20 e 20,"Europea Moderna, Italiana",3.5,50 € per due,"Quartiere Africano, Roma"
15,Tatá,"Pizza, Italiana",3.1,60 € per due,"Eur, Roma"
16,Tutto Qua,"Fatto in casa, Italiana",3.5,60 € per due,"Monteverde, Roma"
17,Enoteca Graziani,Italiana,3.5,40 € per due,"Quartiere Africano, Roma"
18,Wine Bar Camponeschi,Finger Food,-,30 € per due,"Campo de' Fiori, Roma"
19,Uve e Forme,"Fatto in casa, Italiana",-,40 € per due,"Bologna, Roma"
20,Vineria Anzuini,"Romana, Italiana",3.2,40 € per due,"Eur, Roma"
21,Oratorio Bistrot,"Romana, Italiana",-,60 € per due,"Esquilino - Termini, Roma"
22,Tramonti e Muffati,"Romana, Fatto in casa, Italiana",-,40 € per due,"Tuscolano, Roma"
23,Il Simposio - Enoteca Costantini,"Pesce, Italiana, Europea Moderna",-,100 € per due,"Prati, Roma"
24,La Mescita,Mediterranea,-,20 € per due,"Garbatella, Roma"
25,Quattrochiacchiere,Finger Food,2.6,30 € per due,"San Paolo, Roma"
26,Italia di Gusto,"Panini, Italiana",-,40 € per due,"Navona - Pantheon, Roma"
27,Le Cave des Amis,Italiana,-,30 € per due,"Roma 70, Roma"
28,Il Belli al Trionfale,Italiana,-,50 € per due,"Prati, Roma"
29,Ercoli Doc,Italiana,-,50 € per due,"Prati, Roma"
30,Tastevin,Italiana,-,80 € per due,"Prati, Roma"
31,Enoteca Carso,"Caffè, Tavola Fredda",-,20 € per due,"Prati, Roma"
32,Enoteca Colombo,"Finger Food, Italiana",-,30 € per due,"Ardeatina, Roma"
33,Cantina Rossi,"Romana, Italiana",-,20 € per due,"Centocelle, Roma"
34,Gustando & Degustando,"Romana, Italiana",-,30 € per due,"Bologna, Roma"
35,Divinare,"Romana, Italiana",-,40 € per due,"Testaccio, Roma"
36,Stappo,Finger Food,-,20 € per due,"Monteverde, Roma"
37,Il Winebar - Città del Gusto,Italiana,-,50 € per due,"Marconi, Roma"
38,Centro Vini Arcioni,Finger Food,-,20 € per due,"Prati, Roma"
39,Il Bistro Enoteca al Parlamento,"Italiana, Europea",-,30 € per due,"Portuense, Roma"
40,Semi di Vino,Italiana,-,60 € per due,"Quartiere Trieste, Roma"
41,Vino Bono,Finger Food,-,25 € per due,"Prati, Roma"
42,Enoteca Bonomi,Finger Food,-,20 € per due,"Appio Latino, Roma"
43,Enoteca Via dell'Aquila Reale,Finger Food,-,10 € per due,"Cinecittà, Roma"
44,In Cibo Veritas - Mercato Testaccio,Italiana,-,15 € per due,"Mercato Testaccio, Roma"
